check,max_abs_difference,tolerance,passed
theta uses b_pre*mA_hat + TA_hat,0,1.0000000e-10,1
b_pre maps exactly to L.debt_gdp,0,1.0000000e-10,1
criterion theta low hinge,0,1.0000000e-10,1
criterion theta high hinge,0,1.0000000e-10,1
criterion b_pre low hinge,0,1.0000000e-10,1
criterion b_pre high hinge,0,1.0000000e-10,1
criterion mA low hinge,0,1.0000000e-10,1
criterion mA high hinge,0,1.0000000e-10,1
criterion TA low hinge,0,1.0000000e-10,1
criterion TA high hinge,0,1.0000000e-10,1
criterion b_pre*mA low hinge,0,1.0000000e-10,1
criterion b_pre*mA high hinge,0,1.0000000e-10,1
A=(1-capacity) outcome equals A(t)-A(t-1),0,1.0000000e-10,1
main debt low hinge,0,1.0000000e-10,1
main debt high hinge,0,1.0000000e-10,1
A=(1-capacity) debt-cutoff low hinge,0,1.0000000e-10,1
A=(1-capacity) debt-cutoff high hinge,0,1.0000000e-10,1
A=(1-capacity) cutoff equals debt cutoff,0,1.0000000e-12,1
